1.1.1	vqxXirAxEc
1.1.2	axef guNaH
1.1.3	iko guNavqxXI
1.1.4	na XAwulopa ArXaXAwuke
1.1.5	gkfiwi ca
1.1.6	xIXIvevItAm
1.1.7	haloZnanwarAH saMyogaH
1.1.8	muKanAsikAvacanoZnunAsikaH
1.1.9	wulyAsyaprayawnaM savarNam
1.1.10	nAjJalO
1.1.11	IxUxexxvivacanaM pragqhyam
1.1.12	axaso mAw
1.1.13	Se
1.1.14	nipAwa ekAjanAf
1.1.15	ow
1.1.16	sambuxXO SAkalyasyewAvanArRe
1.1.17	uFaH
1.1.18	Uz
1.1.19	IxUwO ca sapwamyarWe
1.1.20	xAXA GvaxAp
1.1.21	Axyanwavaxekasmin
1.1.22	warapwamapO GaH
1.1.23	bahugaNavawudawi saMKyA
1.1.24	RNAnwA Rat
1.1.25	dawi ca
1.1.26	kwakwavawU niRTA
1.1.27	sarvAxIni sarvanAmAni
1.1.28	viBARA xiksamAse bahuvrIhO
1.1.29	na bahuvrIhO
1.1.30	wqwIyAsamAse
1.1.31	xvanxve ca
1.1.32	viBARA jasi
1.1.33	praWamacaramawayAlpArXakawipayanemASca
1.1.34	pUrvaparAvaraxakRiNowwarAparAXarANi
1.1.35	svamajFAwiXanAKyAyAm
1.1.36	anwaraM bahiryogopasaMvyAnayoH
1.1.37	svarAxinipAwamavyayam
1.1.38	waxXiwaScAsarvaviBakwiH
1.1.39	kqnmejanwaH
1.1.40	kwvAwosunkasunaH
1.1.41	avyayIBAvaSca
1.1.42	Si sarvanAmasWAnam
1.1.43	sudanapuMsakasya
1.1.44	na vewi viBARA
1.1.45	igyaNaH samprasAraNam
1.1.46	AxyanwO takiwO
1.1.47	mixacoZnwyAwparaH
1.1.48	eca igGrasvAxeSe
1.1.49	RaRTI sWAneyogA
1.1.50	sWAneZnwarawamaH
1.1.51	uraN raparaH
1.1.52	aloZnwyasya
1.1.53	ficca
1.1.54	AxeH parasya
1.1.55	anekAlSiwsarvasya
1.1.56	sWAnivaxAxeSoZnalviXO
1.1.57	acaH parasmin pUrvaviXO
1.1.58	na paxAnwaxvirvacanavareyalopasvarasavarNAnusvAraxIrGajaScarviXiRu
1.1.59	xvirvacaneZci
1.1.60	axarSanaM lopaH
1.1.61	prawyayasya luk‌SlulupaH
1.1.62	prawyayalope prawyayalakRaNam
1.1.63	na lumawAZfgasya
1.1.64	acoZnwyAxi ti
1.1.65	aloZnwyAw pUrva upaXA
1.1.66	wasminniwi nirxiRte pUrvasya
1.1.67	wasmAxiwyuwwarasya
1.1.68	svaM rUpaM SabxasyASabxasaMjFA
1.1.69	aNuxiw savarNasya cAprawyayaH
1.1.70	waparaswawkAlasya
1.1.71	Axiranwyena sahewA
1.1.72	yena viXiswaxanwasya
1.1.73	vqxXiryasyAcAmAxiswax vqxXam
1.1.74	wyaxAxIni ca
1.1.75	ef prAcAM xeSe
1.2.1	gAfkutAxiByoZFNinf iw
1.2.2	vija it
1.2.3	viBARorNoH
1.2.4	sArvaXAwukamapiw
1.2.5	asaMyogAllit kiw
1.2.6	InXiBavawiByAM ca
1.2.7	mqdamqxaguXakuRakliSavaxavasaH kwvA
1.2.8	ruxavixamuRagrahisvapipracCaH sazSca
1.2.9	iko Jal
1.2.10	halanwAcca
1.2.11	lifsicAvAwmanepaxeRu
1.2.12	uSca
1.2.13	vA gamaH
1.2.14	hanaH sic
1.2.15	yamo ganXane
1.2.16	viBARopayamane
1.2.17	sWA Gvoricca
1.2.18	na kwvA set
1.2.19	niRTA SIfsviximixikRvixiXqRaH
1.2.20	mqRaswiwikRAyAm
1.2.21	uxupaXAxBAvAxikarmaNoranyawarasyAm
1.2.22	pUfaH kwvA ca
1.2.23	nopaXAwWaPAnwAxvA
1.2.24	vaFciluFcyqwaSca
1.2.25	wqRimqRikqSeH kASyapasya
1.2.26	ralo vyupaXAxXalAxeH saMSca
1.2.27	UkAloZjJrasvaxIrGapluwaH
1.2.28	acaSca
1.2.29	uccEruxAwwaH
1.2.30	nIcEranuxAwwaH
1.2.31	samAhAraH svariwaH
1.2.32	wasyAxiwa uxAwwamarXahrasvam
1.2.33	ekaSruwi xUrAw sambuxXO
1.2.34	yajFakarmaNyajapanyUfKasAmasu
1.2.35	uccEswarAM vA vaRatkAraH
1.2.36	viBARA Canxasi
1.2.37	na subrahmaNyAyAM svariwasya wUxAwwaH
1.2.38	xevabrahmaNoranuxAwwaH
1.2.39	svariwAw saMhiwAyAmanuxAwwAnAm
1.2.40	uxAwwasvariwaparasya sannawaraH
1.2.41	apqkwa ekAl prawyayaH
1.2.42	wawpuruRaH samAnAXikaraNaH karmaXArayaH
1.2.43	praWamAnirxiRtaM samAsa upasarjanam
1.2.44	ekaviBakwi cApUrvanipAwe
1.2.45	arWavaxaXAwuraprawyayaH prAwipaxikam
1.2.46	kqwwaxXiwasamAsASca
1.2.47	hrasvo napuMsake prAwipaxikasya
1.2.48	goswriyorupasarjjanasya
1.2.49	luk waxXiwaluki
1.2.50	ixgoNyAH
1.2.51	lupi yukwavaxvyakwivacane
1.2.52	viSeRaNAnAM cAjAweH
1.2.53	waxaSiRyaM saMjFApramANawvAw
1.2.54	lubyogApraKyAnAw
1.2.55	yogapramANe ca waxaBAveZxarSanaM syAw
1.2.56	praXAnaprawyayArWavacanamarWasyAnyapramANawvAw
1.2.57	kAlopasarjane ca wulyam
1.2.58	jAwyAKyAyAmekasmin bahuvacanamanyawarasyAm
1.2.59	asmaxo xvAyoSca
1.2.60	PalgunIproRTapaxAnAM ca nakRawre
1.2.61	Canxasi punarvasvorekavacanam
1.2.62	viSAKayoSca
1.2.63	wiRyapunarvasvornakRawraxvaMxve bahuvacanasya
1.2.64	sarUpANAmekaSeRa ekaviBakwO
1.2.65	vqxXo yUnA wallakRaNaScexeva viSeRaH
1.2.66	swrI puMvacca
1.2.67	pumAn swriyA
1.2.68	BrAwqpuwrO svasqxuhiwqByAm
1.2.69	napuMsakamanapuMsakenEkavaccAsyAnyawarasyAm
1.2.70	piwA mAwrA
1.2.71	SvaSuraH SvaSrvA
1.2.72	wyaxAxIni sarvErniwyam
1.2.73	grAmyapaSusaMGeRu awaruNeRu swrI
1.3.1	BUvAxayo XAwavaH
1.3.2	upaxeSeZjanunAsika iw
1.3.3	halanwyam
1.3.4	na viBakwO wusmAH
1.3.5	AxirFitudavaH
1.3.6	RaH prawyayasya
1.3.7	cutU
1.3.8	laSakvawaxXiwe
1.3.9	wasya lopaH
1.3.10	yaWAsaMKyamanuxeSaH samAnAm
1.3.11	svariwenAXikAraH
1.3.12	anuxAwwafiwa Awmanepaxam
1.3.13	BAvakarmmaNoH
1.3.14	karwwari karmmavyawihAre
1.3.15	na gawihiMsArWeByaH
1.3.16	iwarewarAnyonyopapaxAcca
1.3.17	nerviSaH
1.3.18	parivyaveByaH kriyaH
1.3.19	viparAByAM jeH
1.3.20	Afo xoZnAsyaviharaNe
1.3.21	krIdoZnusampariByaSca
1.3.22	samavapraviByaH sWaH
1.3.23	prakASanasWeyAKyayoSca
1.3.24	uxoZnUrxXvakarmaNi
1.3.25	upAnmanwrakaraNe
1.3.26	akarmakAcca
1.3.27	uxviByAM wapaH
1.3.28	Afo yamahanaH
1.3.29	samo gamyqcCipracCisvarawyarwiSruvixiByaH
1.3.30	nisamupaviByo hvaH
1.3.31	sparxXAyAmAfaH
1.3.32	ganXanAvakRepaNasevanasAhasikyaprawiyawnaprakaWanopayogeRu kqFaH
1.3.33	aXeH prasahane
1.3.34	veH SabxakarmmaNaH
1.3.35	akarmakAcca
1.3.36	sammAnanowsaFjanAcAryakaraNajFAnaBqwivigaNanavyayeRu niyaH
1.3.37	karwqsWe cASarIre karmaNi
1.3.38	vqwwisargawAyaneRu kramaH
1.3.39	upaparAByAm
1.3.40	Afa uxgamane
1.3.41	veH pAxaviharaNe
1.3.42	propAByAM samarWAByAm
1.3.43	anupasargAxvA
1.3.44	apahnave jFaH
1.3.45	akarmakAcca
1.3.46	samprawiByAmanAXyAne
1.3.47	BAsanopasamBARAjFAnayawnavimawyupamanwraNeRu vaxaH
1.3.48	vyakwavAcAM samuccAraNe
1.3.49	anorakarmakAw
1.3.50	viBARA vipralApe
1.3.51	avAxgraH
1.3.52	samaH prawijFAne
1.3.53	uxaScaraH sakarmakAw
1.3.54	samaswqwIyAyukwAw
1.3.55	xANaSca sA ceccawurWyarWe
1.3.56	upAxyamaH svakaraNe
1.3.57	jFASrusmqxqSAM sanaH
1.3.58	nAnorjFaH
1.3.59	prawyAfByAM SruvaH
1.3.60	SaxeH SiwaH
1.3.61	mriyawerluf‌lifoSca
1.3.62	pUrvavaw sanaH
1.3.63	Amprawyayavaw kqFoZnuprayogasya
1.3.64	propAByAM yujerayajFapAwreRu
1.3.65	samaH kRNuvaH
1.3.66	BujoZnavane
1.3.67	NeraNO yaw karma NO cew sa karwAZnAXyAne
1.3.68	BIsmyorhewuBaye
1.3.69	gqXivaFcyoH pralamBane
1.3.70	liyaH sammAnanaSAlinIkaraNayoSca
1.3.71	miWyopapaxAw kqFoZByAse
1.3.72	svariwaFiwaH karwraBiprAye kriyAPale
1.3.73	apAxvaxaH
1.3.74	NicaSca
1.3.75	samuxAfByo yamoZgranWe
1.3.76	anupasargAjjFaH
1.3.77	viBARopapaxena prawIyamAne
1.3.78	SeRAw karwari parasmEpaxam
1.3.79	anuparAByAM kqFaH
1.3.80	aBiprawyawiByaH kRipaH
1.3.81	prAxvahaH
1.3.82	parermqRaH
1.3.83	vyAfpariByo ramaH
1.3.84	upAcca
1.3.85	viBARAZkarmakAw
1.3.86	buXayuXanaSajanefpruxrusruByo NeH
1.3.87	nigaraNacalanArWeByaH
1.3.88	aNAvakarmakAcciwwavawkarwqkAw
1.3.89	na pAxamyAfyamAfyasaparimuharucinqwivaxavasaH
1.3.90	vA kyaRaH
1.3.91	xyuxByo lufi
1.3.92	vqxByaH syasanoH
1.3.93	luti ca kLpaH
1.4.1	A kadArAxekA saMjFA
1.4.2	viprawiReXe paraM kAryam
1.4.3	yU swryAKyO naxI
1.4.4	neyafuvafsWAnAvaswrI
1.4.5	vAZZmi
1.4.6	fiwi hrasvaSca
1.4.7	SeRo GyasaKi
1.4.8	pawiH samAsa eva
1.4.9	RaRTIyukwaSCanxasi vA
1.4.10	hrasvaM laGu
1.4.11	saMyoge guru
1.4.12	xIrGaM ca
1.4.13	yasmAw prawyayaviXiswaxAxi prawyayeZfgam
1.4.14	supwifanwaM paxam
1.4.15	naH kye
1.4.16	siwi ca
1.4.17	svAxiRvasarvanAmasWAne
1.4.18	yaci Bam
1.4.19	wasO mawvarWe
1.4.20	ayasmayAxIni cCanxasi
1.4.21	bahuRu bahuvacanam
1.4.22	xvyekayorxvivacanEkavacane
1.4.23	kArake
1.4.24	XruvamapAyeZpAxAnam
1.4.25	BIwrArWAnAM BayahewuH
1.4.26	parAjerasoDaH
1.4.27	vAraNArWAnAM IpsiwaH
1.4.28	anwarxXO yenAxarSanamicCawi
1.4.29	AKyAwopayoge
1.4.30	janikarwuH prakqwiH
1.4.31	BuvaH praBavaH
1.4.32	karmaNA yamaBiprEwi sa sampraxAnam
1.4.33	rucyarWAnAM prIyamANaH
1.4.34	SlAGahnufsWASapAM jFIpsyamAnaH
1.4.35	XAreruwwamarNaH
1.4.36	spqherIpsiwaH
1.4.37	kruXaxruherRyAZsUyArWAnAM yaM prawi kopaH
1.4.38	kruXaxruhorupasqRtayoH karma
1.4.39	rAXIkRyoryasya vipraSnaH
1.4.40	prawyAfByAM SruvaH pUrvasya karwA
1.4.41	anuprawigqNaSca
1.4.42	sAXakawamaM karaNam
1.4.43	xivaH karma ca
1.4.44	parikrayaNe sampraxAnamanyawarasyAm
1.4.45	AXAroZXikaraNam
1.4.46	aXiSIfsWAZZsAM karma
1.4.47	aBiniviSaSca
1.4.48	upAnvaXyAfvasaH
1.4.49	karwurIpsiwawamaM karma
1.4.50	waWAyukwaM cAnipsIwam
1.4.51	akaWiwaM ca
1.4.52	gawibuxXiprawyavasAnArWaSabxakarmAkarmakANAmaNi karwA
1.4.53	hqkroranyawarasyAm
1.4.54	svawanwraH karwA
1.4.55	wawprayojako hewuSca
1.4.56	prAgrISvarAnnipAwAH
1.4.57	cAxayoZsawwve
1.4.58	prAxayaH
1.4.59	upasargAH kriyAyoge
1.4.60	gawiSca
1.4.61	UryAxicvidAcaSca
1.4.62	anukaraNaM cAniwiparam
1.4.63	AxarAnAxarayoH saxasawI
1.4.64	BURaNeZlam
1.4.65	anwaraparigrahe
1.4.66	kaNemanasI SraxXAprawIGAwe
1.4.67	puroZvyayam
1.4.68	aswaM ca
1.4.69	acCa gawyarWavaxeRu
1.4.70	axoZnupaxeSe
1.4.71	wiroZnwarxXO
1.4.72	viBARA kqFi
1.4.73	upAjeZnvAje
1.4.74	sAkRAwpraBqwIni ca
1.4.75	anawyAXAna urasimanasI
